q0,q1,v0,v1,v_max,a_max,j_max,dt
-25.707,-25.713,11.964,-22.957,58.198,887.18,-773.503,0.001
-18.696,21.225,76.685,-20.911,34.937,516.311,-8224.506,0.001
-9.866,5.684,-2.689,-82.85,-36.274,-50.072,-9863.816,0.001
-11.337,4.548,52.812,99.327,-94.976,335.52,3561.262,0.001
-4.788,-8.881,34.167,-19.599,-144.863,486.633,-6332.025,0.001
-24.736,21.878,61.737,-14.322,85.409,-304.674,-1155.716,0.001
3.592,-25.936,98.476,81.209,-18.6,790.871,6106.848,0.001
10.058,-17.937,65.923,93.725,138.26,-943.461,4783.131,0.001
-23.082,24.497,-58.531,45.725,-184.428,352.629,3163.416,0.001
-11.061,-18.444,75.043,2.896,-79.983,-719.202,8937.536,0.001
28.848,-22.132,-73.491,1.155,-167.838,64.347,-7109.242,0.01
23.153,16.503,-22.589,70.675,-119.254,257.057,3906.452,0.01
-28.635,12.82,-72.894,-17.727,-153.397,-909.789,5471.755,0.001
21.797,-1.857,94.304,14.293,-117.94,-693.182,-7992.419,0.001
-15.301,-8.567,-84.622,-49.453,175.771,58.042,-7076.837,0.001
-3.984,-21.895,54.537,-90.186,-92.262,384.747,-2784.87,0.01
-21.878,-23.273,54.511,-22.226,-138.494,966.901,-564.18,0.001
-17.064,-1.042,-36.984,22.785,62.3,-888.361,7038.297,0.001
16.484,25.554,-18.226,73,-33.794,935.919,4807.937,0.001
-24.769,-16.431,10.516,11.103,41.927,532.773,-4165.87,0.001
-5.977,-24.632,-13.006,-50.727,-143.491,197.104,4375.013,0.01
5.407,0.424,-76.416,26.195,119.206,223.898,1058.184,0.001
-18.209,-11.942,52.941,0.452,110.339,-610.347,1229.036,0.001
11.809,16.498,32.367,-73.108,-133.777,-201.386,9103.967,0.01
5.578,-29.558,71.899,-56.948,-102.232,-746.252,-2737.863,0.001
-2.149,-14.932,86.893,-61.857,126.194,-489.161,-7877.113,0.01
-15.531,9.913,-6.034,11.889,153.833,-557.996,-3747.205,0.001
-5.234,-18.237,64.779,51.591,-37.189,-193.522,-49.171,0.01
16.23,29.618,-82.133,32.46,33.325,36.304,6877.54,0.001
-27.88,15.371,-40.074,42.156,-73.793,804.334,425.657,0.001
6.453,-10.292,-84.16,9.033,92.18,-349.736,-475.93,0.001
-25.232,2.473,-30.167,12.044,10.263,-167.467,-5701.096,0.001
-5.077,-1.299,61.847,-34.89,78.241,415.789,-6610.257,0.01
29.129,-16.994,40.049,93.27,-17.146,698.529,8924.629,0.001
20.559,17.61,95.102,-77.316,-47.39,-599.115,5816.603,0.01
-26.856,8.293,85.133,33.966,152.32,695.626,-1103.736,0.001
13.651,15.874,-81.214,76.369,61.779,-78.184,-6556.376,0.001
-23.103,14.389,-72.962,47.546,-1.967,-827.311,-465.203,0.001
-0.877,-22.371,-88.376,87.618,133.863,928.033,8242.515,0.001
22.116,11.042,22.671,-6.771,104.76,-600.065,-2157.297,0.001
-28.998,14.837,66.051,-44.276,194.952,-361.631,-2723.173,0.001
19.135,-8.515,18.876,-4.306,45.208,477.151,-6686.463,0.001
17.033,-18.563,-28.081,77.12,-144.249,-940.507,1473.983,0.001
-18.378,4.463,94.448,48.991,61.462,358.558,-3088.884,0.001
24.771,-14.259,-47.395,-32.056,91.497,703.489,-8814.364,0.001
11.022,-6.496,94.535,-87.352,-16.684,-615.321,-9580.738,0.001
23.304,-10.738,10.123,27.517,-97.748,-922.279,2181.284,0.01
12.772,-13.792,-10.934,87.407,150.906,-620.744,9946.297,0.001
-0.906,-29.719,79.689,54.161,76.499,19.972,-6684.916,0.001
19.993,-11.229,0.474,79.559,-84.921,428.886,3372.36,0.001
-24.556,9.666,83.784,41.349,78.256,157.473,6962.976,0.001
-28.471,0.415,86.543,-79.195,27.966,-308.697,-693.119,0.001
-9.856,22.688,-77.011,-34.385,161.65,-676.127,-6431.849,0.001
-0.785,-25.434,47.56,13.002,-167.552,357.474,-888.792,0.001
-16.479,27.864,32.365,-54.921,-139.109,755.666,-2762.882,0.001
3.283,-22.026,53.162,9.664,101.779,-493.415,-1120.89,0.001
10.869,5.817,-73.874,-65.283,56.252,274.341,-718.026,0.001
20.097,-7.281,95.893,39.621,189.281,112.353,-2606.956,0.01
23.753,-6.112,34.353,61.319,94.251,-842.94,-7585.483,0.001
-3.744,17.296,75.405,-69.898,-177.861,165.151,-6863.002,0.001
-6.021,2.3,-89.177,37.966,37.204,129.836,8211.466,0.001
-3.593,-2.796,-1.726,38.834,147.438,832.889,-5503.23,0.01
-11.423,-29.147,-2.406,-15.591,-36.592,-742.816,3122.911,0.001
-3.183,-10.905,16.361,-40.166,169.322,-132.691,7692.904,0.001
27.864,-13.619,82.326,-70.858,64.916,55.178,-3333.087,0.001
-2.259,-5.885,50.731,-5.637,30.648,374.933,-808.433,0.001
-0.24,-16.201,77.185,-39.638,134.603,227.703,7033.31,0.001
-28.708,11.006,-65.083,26.118,-169.348,363.351,7694.208,0.001
-18.463,-8.13,-85.21,-89.084,-132.207,651.419,1049.495,0.01
23.888,-18.441,-46.143,-97.079,-122.595,15.943,6236.836,0.001
-6.643,-22.766,-57.46,82.316,-1.928,-701.355,4142.587,0.001
-23.878,9.104,-34.265,-38.318,-78.119,807.768,-1523.756,0.001
-9.018,-11.276,32.165,-10.708,-47.605,916.809,-8574.026,0.001
-19.288,-25.784,-3.968,-21.652,47.585,25.692,-7676.277,0.001
-15.055,8.998,-57.677,-52.248,-143.438,365.275,-1927.31,0.001
8.459,20.934,66.226,82.355,-88.447,739.171,-9579.954,0.001
28.546,-23.921,-55.819,41.837,-84.139,-488.1,-4260.706,0.01
25.24,-9.459,44.659,-73.847,-28.395,501.513,3514.072,0.001
-26.772,-17.302,32.303,48.01,164.461,935.377,1099.128,0.001
24.185,-24.528,-54.803,68.534,35.472,384.8,-2823.977,0.001
-18.6,-14.843,48.368,-98.112,47.969,575.636,-9745.565,0.001
29.557,-17.579,78.445,78.368,38.757,405.652,4138.567,0.01
-10.41,6.963,44.31,34.731,-194.004,824.563,6390.373,0.001
-16.348,23.511,-17.794,76.097,-108.256,-506.459,-9006.683,0.001
26.623,12.985,43.111,11.773,-193.58,-176.49,-2649.622,0.01
18.651,21.914,88.317,50.543,-164.228,-156.11,-9893.334,0.001
25.467,20.295,87.082,-60.651,77.94,-647.83,7878.509,0.001
13.11,-28.826,13.329,91.273,24.055,-768.601,6771.549,0.001
22.756,-10.126,-92.932,-95.708,25.733,682.445,-9222.654,0.001
21.904,-26.625,-87.956,-82.803,-198.223,419.252,5520.029,0.001
-8.555,10.359,-62.303,12.602,56.36,-801.949,8700.137,0.001
-21.824,-15.715,-24.771,-94.376,50.964,-24.078,-7241.729,0.001
18.347,-1.504,13.735,17.515,32.496,994.686,-9087.151,0.001
10.868,-26.695,33.807,74.455,102.898,-603.519,-3014.492,0.001
-4.117,20.429,80.998,79.984,-146.716,166.14,-9518.006,0.001
26.827,5.993,55.886,19.989,-17.168,-187.641,-3085.297,0.001
27.071,-13.233,77.222,81.542,-176.554,-529.141,1190.892,0.001
-28.076,27.903,30.809,47.753,101.641,-182.425,9653.461,0.001
-13.43,-24.736,-74.738,37.745,102.703,942.283,6007.616,0.01
-25.935,-27.187,-99.679,51.051,-87.044,616.626,2947.908,0.001
19.617,7.058,-65.212,57.894,30.993,304.582,6398.397,0.001
-6.221,28.111,26.773,62.458,64.28,-561.407,-2307.86,0.001
4.871,-22.42,63.608,30.989,-148.885,-221.746,979.325,0.001
-9.388,-7.716,-10.18,10.764,110.554,98.106,3108.282,0.001
28.273,-13.58,61.786,2.443,-196.499,202.021,5775.456,0.001
6.204,-22.253,-94.26,5.825,126.256,-129.112,-4137.003,0.001
10.059,-6.841,-92.995,-99.791,38.367,662.953,-7688.029,0.001
21.8,-11.209,-23.302,-36.503,193.253,72.634,-5918.053,0.001
-4.795,21.277,-38.652,-24.247,-114.143,-416.133,9934.474,0.001
-25.596,17.59,-36.054,76.491,-24.193,-548.894,2392.556,0.001
22.284,7.425,-53.894,92.673,-14.853,8.069,4710.847,0.001
11.679,3.127,77.215,-48.849,-46.589,943.183,7403.948,0.001
20.486,-15.814,-2.543,81.225,-43.935,-78.137,3176.538,0.001
10.575,-15.767,-91.785,-25.538,-94.983,-635.318,-9618.369,0.001
12.084,-11.653,42.386,-20.081,-20.586,-396.027,5351.996,0.001
23.725,-16.582,28.723,79.551,-34.332,956.18,4523.395,0.001
5.245,-20.344,90.814,87.527,41.554,524.57,1221.516,0.001
-10.488,23.428,32.362,82.908,-12.537,-134.738,6864.316,0.001
29.692,16.569,-43.679,-63.509,-184.336,-692.493,4185.11,0.001
-17.548,22.767,55.786,-70.829,-138.694,-319.899,9559.718,0.001
-12.825,18.03,-85.215,71.844,-9.436,-266.082,2299.896,0.001
19.987,-24.996,-42.067,-12.93,103.806,-740.503,6207.838,0.01
16.215,-20.221,-33.736,94.835,-191.839,-589.564,3815.076,0.001
-17.966,-28.43,-59.292,68.188,118.139,46.236,9556.454,0.01
15.886,-10.655,17.243,-21.154,-93.578,441.662,-8274.348,0.01
6.956,-17.718,12.203,-49.356,-21.417,-60.216,9838.43,0.001
27.857,1.644,-99.037,-10.436,-124.516,896.403,-6181.841,0.001
0.221,-27.966,38.183,-18.748,-147.948,-803.394,892.331,0.001
-1.278,-20.546,-40.618,79.006,11.691,752.295,6289.755,0.001
5.142,6.233,-0.091,-49.179,135.944,-614.136,8360.67,0.001
28.776,4.752,-19.335,-49.953,137.932,-409.756,-700.532,0.001
-9.054,2.421,25.276,39.89,-178.686,546.575,2791.918,0.001
-14.34,27.373,30.532,-3.825,-11.335,-882.05,-4207.232,0.001
5.397,7.854,-87.118,-78.974,166.7,-851.104,-9371.757,0.001
14.723,6.007,25.529,-3.587,-88.409,-365.242,8442.347,0.001
-25.081,-27.123,-2.133,70.728,121.184,-492.851,-3186.434,0.01
-7.503,-16.461,-97.677,-8.13,-164.814,-921.823,937.921,0.001
-24.78,-8.504,-98.857,93.228,-67.972,606.449,1514.376,0.001
-10.911,14.157,-2.588,-49.69,-101.76,-760.242,164.1,0.001
-2.806,1.679,60.058,93.059,-90.101,647.526,-4176.718,0.001
-20.335,12.578,41.272,2.558,1.663,376.778,-4894.429,0.01
-26.408,-0.262,-53.202,79.386,-42.085,-208.322,-1033.944,0.01
-3.308,17.644,-18.965,55.133,-157.475,232.445,7567.352,0.001
-12.884,-17.596,40.835,65.299,162.859,467.748,9394.965,0.001
-18.05,26.511,-40.966,-15.105,-34.646,424.896,-8991.977,0.01
0.589,9.384,76.401,32.784,173.108,-632.586,1431.022,0.001
-28.832,-15.399,-87.293,62.28,-51.595,-801.515,-5493.311,0.001
19.806,-13.232,24.737,61.956,-61.145,612.655,-5767.49,0.001
-17.977,-24.332,19.331,-97.507,46.041,70.294,1812.743,0.001
-4.406,10.821,58.091,-79.828,-98.65,-720.991,683.064,0.001
13.986,25.864,19.902,72.652,-31.633,-483.139,3643.695,0.001
1.608,4.37,69.468,-89.732,-62.46,673.629,5532.002,0.001
-13.842,24.645,-68.296,-98.162,-6.652,-702.441,4455.3,0.001
16.07,8.275,90.512,-63.669,20.102,-607.108,1214.537,0.001
27.265,28.328,32.787,-85.706,-75.839,150.055,3456.404,0.001
-22.939,8.241,75.421,41.731,196.397,568.271,-3270.011,0.001
-28.507,18.05,-76.486,-62.651,21.707,206.259,9507.529,0.001
-4.678,22.762,51.506,60.573,46.431,-692.308,7404.057,0.001
-26.137,27.408,-1.301,2.468,-192.013,-440.629,6576.425,0.001
-22.464,-11.365,-54.218,49.34,165.315,-482.444,8960.933,0.001
-24.455,6.266,1.999,9.937,47.859,785.944,-4790.204,0.001
-16.039,-13.546,-70.936,-98.249,-29.406,-996.97,2822.051,0.01
-17.329,-25.618,-83.183,-40.108,-164.36,-253.331,-8604.757,0.001
6.589,-21.286,0.257,-75.14,-85.827,-767.014,-801.253,0.01
-6.328,-10.469,94.019,24.513,-102.035,-919.594,-7493.176,0.001
13.602,3.128,-73.555,20.848,-122.144,-507.514,-9015.804,0.001
27.678,-19.341,93.631,36.637,-145.937,-562.959,7694.443,0.001
15.013,3.355,59.833,-87.56,57.909,-472.5,1606.309,0.001
-25.276,9.881,95.701,85.052,-128.306,954.193,-5450.481,0.001
22.078,2.626,83.251,28.534,-142.079,-191.795,4345.386,0.001
-8.234,22.683,5.824,58.538,-8.116,217.895,8689.01,0.001
17.821,-25.137,94.334,10.842,-175.989,-234.43,-1529.031,0.001
17.184,-28.369,-47.14,-24.077,103.111,-848.867,-1394.745,0.001
-10.119,9.431,1.665,69.797,-10.355,160.287,2373.5,0.001
27,-19.763,-2.714,93.738,76.172,276.515,3428.693,0.001
19.71,-0.815,-0.656,-84.407,-83.137,912.79,-4118.623,0.001
7.748,5.236,-35.515,33.93,-153.03,548.946,-4281.072,0.001
-12.263,-11.16,38.928,-13.578,87.141,431.853,-9316.592,0.01
7.02,-8.508,-44.642,24.208,97.974,807.277,-2416.421,0.001
29.311,28.372,-7.158,17.256,-71.423,151.354,4001.592,0.001
-9.36,-23.069,38.114,-71.188,142.6,-170.234,-7433.382,0.001
-15.622,23.724,-59.768,46.245,-24.702,108.589,-8515.306,0.001
-29.977,20.671,7.725,-24.219,150.382,-590.799,-8204.439,0.001
24.558,-22.706,-23.062,-34.966,113.047,525.202,2481.822,0.01
7.653,-20.872,59.205,-96.392,41.269,-265.569,2345.947,0.001
17.174,15.139,-67.626,19.821,-43.304,92.578,-3246.245,0.01
14.923,-19.396,33.193,-33.087,59.023,-774.809,3335.266,0.001
7.014,5.781,-36.612,-50.876,192.475,-47.525,-2645.464,0.001
-18.996,-2.439,-32.833,71.519,-28.559,-691.9,9614.639,0.001
20.616,16.824,-0.759,46.271,150.764,784.825,233.555,0.01
12.96,16.075,22.673,-23.938,-159.347,20.234,-2944.941,0.001
9.108,3.596,-40.923,-7.492,50.81,616.956,3783.266,0.001
6.769,22.186,-90.561,-74.505,-78.959,888.186,2555.399,0.001
22.428,-16.73,60.156,22.09,-3.415,114.106,9929.807,0.001
17.561,18.573,-60.066,23.485,96.774,597.07,9505.467,0.001
13.466,-21.347,-12.405,6.999,95.739,779.394,5269.624,0.01
-5.451,4.486,-23.23,88.976,-75.074,-177.528,7572.513,0.01
29.86,-6.974,7.984,-0.707,88.949,-797.696,9753.725,0.001
7.429,9.036,-21.058,48.053,-37.509,-306.686,6797.918,0.001
-8.81,2.83,-13.73,48.978,12.264,479.661,8996.516,0.001
-19.037,-7.025,-67.967,99.789,-130.24,-147.256,-2982.762,0.001
-10.746,-20.835,-55.976,-2.699,78.346,586.534,685.509,0.001
-14.664,-16.391,-94.571,-19.88,-66.3,-980.199,-2484.193,0.001
26.466,-11.114,6.497,-77.446,126.334,-940.024,2635.476,0.001
23.575,-23.468,43.282,-89.236,-68.814,161.002,9965.622,0.01
29.284,-9.03,-99.372,-28.521,-58.45,-261.583,1260.308,0.001
27.149,-7.596,-24.736,26.037,-39.555,668.436,-9160.947,0.001
22.453,-12.725,-55.239,8.689,193.805,-6.308,5557.334,0.001
-20.266,26.23,85.498,-84.692,-119.189,950.492,-7139.254,0.001
-21.199,28.985,-27.084,89.298,-160.035,-197.726,-5838.303,0.01
8.988,24.89,76.512,-98.148,78.395,87.706,-2925.805,0.001
17.405,-14.048,-79.323,27.264,-183.701,414.184,-3424.385,0.001
-25.662,-25.809,-95.305,86.95,32.991,177.238,1660.981,0.001
-15.329,-9.817,-94.555,2.235,-117.646,22.545,-2518.922,0.001
-29.358,23.063,-67.99,54.135,10.488,887.351,9277.13,0.001
-16.048,-29.513,28.757,9.661,101.663,289.462,9324.694,0.001
-14.709,-21.159,57.297,-53.124,-43.354,-571.812,-1569.362,0.001
24.732,-12.692,-28.294,-26.502,89.888,649.622,-2393.653,0.001
-7.947,-22.041,-9.514,-19.668,-90.979,-273.541,2515.761,0.001
-27.718,-27.54,-23.002,53.913,-143.193,564.729,-6026.506,0.001
9.05,24.129,79.422,-58.45,-122.203,-594.351,6202.224,0.001
18.982,27.9,88.376,-48.269,-86.222,-925.531,4875.047,0.001
-24.975,-4.542,-55.788,82.257,-153.308,-296.137,-4845.84,0.001
-29.312,-20.738,56.067,33.416,-175.575,924.746,-5115.161,0.001
-8.063,29.366,-9.366,53.497,88.028,-550.924,6504.615,0.001
-5.234,11.915,4.323,-71.295,198.035,-652.968,-4845.265,0.01
-5.039,11.054,89.787,3.891,-91.187,341.987,-7552.732,0.001
-2.197,-6.216,-65.97,-53.816,166.712,-974.965,4278.502,0.01
-2.04,29.454,37.544,-25.496,-180.276,509.559,6507.012,0.001
2.89,24.597,-28.006,87.036,108.801,-635.748,9307.513,0.01
1.961,-21.233,-84.322,19.621,108.171,505.162,1892.98,0.001
0.462,-3.949,-40.74,-68.074,50.253,381.047,2732.927,0.001
16.866,-5.55,50.568,-9.776,60.091,-531.148,9310.186,0.001
-12.602,26.377,56.962,-36.158,93.858,167.888,1332.044,0.001
3.03,-6.375,42.647,-30.159,-112.709,-475.297,-8703.598,0.001
4.48,17.931,-80.256,54.36,-127.617,-84.78,-8978.298,0.001
-17.767,-29.839,-15.388,37.352,-25.391,241.734,7006.208,0.001
3.314,1.271,82.89,-55.658,-162.997,202.316,7647.983,0.001
-17.153,12.684,-15.304,94.947,106.306,-386.239,8923.162,0.001
2.949,-16.668,-75.942,-59.449,-23.067,237.302,8466.764,0.001
-25.814,-12.676,-45.332,-12.614,-148.756,1.884,-2405.936,0.001
21.627,18.214,32.842,-7.477,-86.967,103.546,7427.904,0.01
-17.497,23.664,66.99,-86.417,29.475,29.835,1522.449,0.001
-15.682,18.697,-26.625,93.275,185.03,215.066,-6246.268,0.001
-7.165,9.515,88.429,66.033,73.512,-889.001,9857.899,0.01
-12.758,29.235,-68.709,-46.521,4.207,-398.584,7848.633,0.001
15.032,10.395,63.231,82.338,93.805,645.156,-9579.317,0.001
-10.864,-17.863,39.901,33.38,35.03,-216.703,-1536.806,0.001
-23.558,-21.326,28.79,-66.943,-194.536,-390.79,6675.044,0.01
18.368,-17.926,14.191,56.92,-39.226,-53.173,3022.917,0.001
-14.877,-24.054,-99.75,-64.743,4.902,-161.276,-1601.025,0.001
0.234,7.399,69.807,-20.915,-187.031,-278.201,5005.062,0.01
-27.609,10.777,50.68,-16.907,-4.851,-483.536,-8639.025,0.01
7.452,-10.81,-78.308,-57.13,172.447,-536.451,-2894.135,0.001
-6.754,-19.061,78.162,8.729,-110.197,-821.429,9151.649,0.001
-11.504,24.793,-28.584,-28.347,96.826,-601.094,8796.464,0.001
-10.077,-23.016,-69.882,-86.616,24.654,-940.584,-1131.639,0.01
25.896,28.485,58.077,-91.96,-156.641,-896.068,-8400.839,0.001
-1.921,-17.594,6.72,-49.039,63.764,648.312,-2613.575,0.001
-29.996,24.983,-38.62,44.721,70.192,731.18,-9032.559,0.001
13.547,10.145,-17.096,69.061,-108.174,-86.42,-2045.781,0.001
-6.031,-16.529,46.456,55.03,33.732,-560.548,-751.681,0.001
-28.625,-20.933,-24.218,61.952,189.909,-851.961,2268.764,0.001
8.265,13.047,-33.613,89.447,-112.652,-137.796,-2879.042,0.001
-3.639,-24.101,-67.03,-51.838,95.453,469.696,5871.982,0.001
5.506,3.63,-24.742,-83.586,177.981,-965.965,9874.297,0.001
7.079,1.572,17.87,-55.957,-182.294,81.046,7923.52,0.001
-2.754,-16.853,-31.276,95.383,-46.275,-958.258,-7472.041,0.001
-27.055,10.019,-45.489,82.291,97.924,-641.824,-894.436,0.01
13.182,-2.871,-49.864,26.324,175.812,-974.261,-9474.025,0.001
14.406,-0.578,71.341,98.461,-133.865,-131.222,9524.433,0.001
-5.712,-1.935,6.545,17.508,-59.827,-871.783,3779.494,0.001
-26.916,16.433,30.882,-21.258,34.779,415.909,-7301.463,0.001
26.881,-8.243,-47.227,-33.364,-77.122,205.739,-4731.586,0.01
22.644,12.924,79.109,35.52,146.777,605.233,9116.582,0.001
19.659,-20.561,93.475,35.231,22.385,-358.314,2581.76,0.01
-3.082,-0.085,-12.497,-25.78,192.913,844.801,1622.915,0.001
23.069,-18.204,75.461,-9.296,-107.19,-556.91,-7485.339,0.001
21.223,-19.013,71.174,38.591,141.723,-670.195,3562.618,0.001
8.864,10.631,-66.972,-30.503,-34.119,-217.229,992.102,0.001
0.407,23.825,-96.303,-71.044,-56.695,-73.334,568.898,0.001
-25.439,6.136,-19.766,-27.23,28.516,23.097,4102.8,0.001
-8.256,-14.408,-31.406,57.606,-54.846,893.701,-5455.383,0.001
-16.135,4.946,50.248,89.288,64.952,917.873,6963.698,0.01
21.611,-1.383,-74.409,-83.713,-71.473,-69.874,37.406,0.001
8.064,22.099,92.067,79.95,-145.722,10.147,2174.79,0.001
13.888,10.547,-59.334,60.424,153.086,674.259,1207.897,0.001
-20.619,6.446,3.625,48.139,-156.622,-627.035,8845.609,0.01
26.979,22.814,39.689,-43.282,115.883,-480.132,-7592.088,0.001
-5.975,18.344,54.471,38.329,36.721,189.223,4402.257,0.001
6.683,5.942,32.83,-80.637,166.019,-52.571,8525.784,0.001
17.91,-18.896,-41.389,96.277,131.358,661.41,-977.342,0.01
11.182,25.905,92.829,79.917,-199.697,-889.149,5538.029,0.001
-29.998,9.587,-27.412,69.134,63.917,-230.612,-5202.775,0.001
0.159,11.645,-63.765,29.84,-118.084,-788.01,-3966.584,0.001
29.138,18.25,18.525,36.751,152.385,897.723,8615.519,0.001
-29.58,-7.22,-2.366,-7.655,-78.467,525.846,-684.577,0.001
-27.545,-15.009,-50.758,66.238,-160.926,50.654,-5369.083,0.001
-23.795,-10.29,88.548,24.015,-164.543,500.347,-8377.111,0.001
6.204,28.694,-2.834,76.508,-56.002,-78.009,-1011.882,0.01
-27.229,-15.285,82.566,-87.423,-152.406,-983.571,-942.196,0.001
-4.688,-6.436,-73.564,31.459,8.956,136.355,7618.375,0.01
-8.648,-28.412,-38.222,93.084,38.997,-189.644,9340.852,0.001
11.86,16.527,-16.79,-83.123,33.712,-807.297,-2732.568,0.001
-8.221,-3.335,-18.925,-67.522,-103.344,99.631,9671.958,0.001
-10.527,-22.986,93.192,30.238,56.001,-288.771,-8320.619,0.001
10.649,29.825,-62.859,-51.826,-195.096,-413.986,-8321.141,0.01
4.995,10.74,51.32,50.752,156.297,-242.189,8975.456,0.001
